x	y	z (elevasi)	gFA	x parasnis	y parasnis	g Bouger	SBA
749167.603	9667388.355	1123	154.4	47.07616	154.4	108.275168	46.124832
751013.6662	9667384.551	1193	156.3	50.01056	156.3	115.024288	41.275712
752870.8716	9667380.695	1133	152.3	47.49536	152.3	109.239328	43.060672
754728.0985	9667376.81	1149	143	48.16608	143	110.781984	32.218016
756574.2258	9667372.92	1107	130.7	46.40544	130.7	106.732512	23.967488
758431.4961	9667368.979	1071	119.2	44.89632	119.2	103.261536	15.938464
760288.7884	9667365.009	1133	111.8	47.49536	111.8	109.239328	2.560672
762134.9812	9667361.035	1291	112	54.11872	112	124.473056	-12.473056
763992.3178	9667357.008	1403	121.1	58.81376	121.1	135.271648	-14.171648
765849.677	9667352.953	1407	138.1	58.98144	138.1	135.657312	2.442688
767695.9367	9667348.894	1439	160.2	60.32288	160.2	138.742624	21.457376
769553.3411	9667344.782	1527	182.1	64.01184	182.1	147.227232	34.872768
771410.7685	9667340.641	1555	199.1	65.1856	199.1	149.92688	49.17312
773257.0965	9667336.497	2075	205.9	86.984	205.9	200.0632	5.8368
775114.5701	9667332.3	2177	199.9	91.25984	199.9	209.897632	-9.997632
776972.0672	9667328.074	2049	181	85.89408	181	197.556384	-16.556384
778818.4649	9667323.845	1681	151.5	70.46752	151.5	162.075296	-10.575296
780676.0092	9667319.563	1253	117.3	52.52576	117.3	120.809248	-3.509248
782533.5774	9667315.251	1069	83.5	44.81248	83.5	103.068704	-19.568704
784380.0462	9667310.938	741	57.3	31.06272	57.3	71.444256	-14.144256
786237.6625	9667306.57	569	42.3	23.85248	42.3	54.860704	-12.560704
788095.3032	9667302.173	835	40.9	35.0032	40.9	80.50736	-39.60736
738043.5664	9665574.547	1015	118.7	42.5488	118.7	97.86224	20.83776
739889.4776	9665570.891	977	118.8	40.95584	118.8	94.198432	24.601568
741746.5291	9665567.185	885	122.4	37.0992	122.4	85.32816	37.07184
743603.6012	9665563.451	865	128.9	36.2608	128.9	83.39984	45.50016
